ena\area1_055_001.wav|ここが素材にも見映えにもこだわってるっていうパンケーキの店ね
ena\voice_card_ev_shuffle_19_19_2b_01_19.wav|結局、おもしろくて最後まで見ちゃったな
ena\voice_card_ev_shuffle_19_19_2b_02_19.wav|あ、帰る前に瑞希に声掛けていこうかな
ena\voice_card_ev_shuffle_19_19_2b_03_19.wav|えっと、青組は……
ena\voice_card_ev_shuffle_19_19_2b_05_19.wav|はいはい、もう帰るところですー
ena\voice_card_ev_shuffle_19_19_2b_06_19.wav|それより、瑞希知らない？声かけてから帰ろうと思って
ena\voice_card_ev_shuffle_19_19_2b_08_19.wav|ほんと？　じゃあ行ってみる
ena\voice_card_ev_shuffle_19_19_2b_10_19.wav|わかった。じゃあね
ena\voice_card_ev_shuffle_19_19_2b_11_19.wav|打ち上げか……。あ、瑞希も応援団の人達とやるのかな
ena\voice_card_ev_shuffle_19_19_2b_12_19.wav|総合優勝はできなかったけど、応援合戦では青組が１位だったし
ena\voice_card_ev_shuffle_19_19_2b_13_19.wav|んー……片づけにそんなに時間かからなそうなら、一緒に帰ろうって誘うつもりだったけど……
ena\voice_card_ev_shuffle_19_19_2b_14_19.wav|あ……
ena\voice_card_ev_shuffle_19_19_2b_15_19.wav|瑞希、楽しそうじゃん
ena\voice_card_ev_shuffle_19_19_2b_16_19.wav|……ま、見に来てよかったかもね
ena\voice_card_ev_shuffle_19_19_2b_17_19.wav|ふふ。邪魔しちゃ悪いし、メッセージだけ送って帰ろっと
ena\voice_card_ev_shuffle_19_19_2b_19_19.wav|うん、いるよ
ena\voice_card_ev_shuffle_19_19_2b_26_19.wav|え？　じゃあもしかして、Kがいい感じおもしろそうって言ってたのはあの青い炎の映像？
ena\voice_card_ev_shuffle_19_19_2b_31_19.wav|うわ～、めちゃくちゃ打算ありきじゃん
ena\voice_card_ev_shuffle_19_19_2b_33_19.wav|ふーん。ていうか、そこまで頑張ってやってたなら、教えてくれてもよかったのに
ena\voice_card_ev_shuffle_19_19_2b_35_19.wav|それは……まあ、そうかも
ena\voice_card_ev_shuffle_19_19_2b_36_19.wav|そういえば、打ち上げには行ったの？
ena\voice_card_ev_shuffle_19_19_2b_38_19.wav|彰人が応援団の人達と行くって言ってたから、Amia達のほうもそうかなって思って
ena\voice_card_ev_shuffle_19_19_2b_39_19.wav|それで、どうだったの？
ena\voice_card_ev_shuffle_19_19_2b_47_19.wav|私も。服ににおいがつかないか気になって全然楽しめないかも
ena\voice_card_ev_shuffle_19_19_2b_49_19.wav|ふふ、そっか
ena\voice_card_ev_shuffle_19_19_2b_50_19.wav|よかったね、めいっぱい楽しめて
ena\voice_card_ev_shuffle_19_19_2b_51_19.wav|応援団の人達と一緒にいた時も、すごく楽しそうだったし
ena\voice_card_ev_shuffle_19_19_2b_55_19.wav|えっ！？
ena\voice_card_ev_shuffle_19_19_2b_56_19.wav|……って、ボイスチャットなんだから顔は見えないでしょ！　適当なこと言わないでよね
ena\voice_card_ev_shuffle_19_19_2b_58_19.wav|はあ！？　ちーがーいーまーすー！
ena\voice_card_ev_night_09_19_3a_03_19.wav|うん、お疲れ。……あれ、雪は？
ena\voice_card_ev_night_09_19_3a_05_19.wav|そう、なんだ……
ena\voice_card_ev_night_09_19_3a_07_19.wav|まあね……
ena\voice_card_ev_night_09_19_3a_08_19.wav|雪……まふゆ、苦しそうだったね
ena\voice_card_ev_night_09_19_3a_11_19.wav|まあ、家族だし……母親を大事にしたいっていうのは、わからなくはないけど
ena\voice_card_ev_night_09_19_3a_12_19.wav|でも、私が同じことされたら、絶対大ゲンカしてる
ena\voice_card_ev_night_09_19_3a_14_19.wav|わかってる。これはあくまで私ならって話で、まふゆの立場になって考えたわけじゃない
ena\voice_card_ev_night_09_19_3a_15_19.wav|そうじゃないけど……。なんか、イライラする
ena\voice_card_ev_night_09_19_3a_17_19.wav|やりたいことがあるなら、言えばいいじゃない
ena\voice_card_ev_night_09_19_3a_18_19.wav|ていうか、まふゆがやりたいことなんだから、自分以外に、誰がお母さんに言えるわけ？
ena\voice_card_ev_night_09_19_3a_19_19.wav|そりゃ、私達は養われてる立場だし、生意気かもしれないけど……
ena\voice_card_ev_night_09_19_3a_20_19.wav|親の言いなりにならなきゃいけないなんて、私は絶対にイヤ
ena\voice_card_ev_night_09_19_3a_21_19.wav|……考えてること、全部言ってくれればいいのに
ena\voice_card_ev_night_09_19_3a_22_19.wav|あの時みたいに——
ena\voice_card_ev_night_09_19_3a_24_19.wav|少なくとも、まふゆの言葉に嘘はなかったし、まふゆ自身の意思だってあったと思う
ena\voice_card_ev_night_09_19_3a_25_19.wav|もうこの際、どんな暴言でもいいから、ためこんでるもの全部出させたいんだけど
ena\voice_card_ev_night_09_19_3a_27_19.wav|怒るに決まってるでしょ。こっちはこれだけ心配してるんだから
ena\voice_card_ev_night_09_19_3a_29_19.wav|……悪い？
ena\voice_card_ev_night_09_19_3a_34_19.wav|はいはい。今の私達にできることはそれくらいしかなさそうだしね
ena\voice_card_ev_night_09_19_3a_35_19.wav|……ごめんね、ふたりとも。こんな話、本人がいないところでしてもしょうがないのに
ena\voice_card_ev_night_09_19_3a_38_19.wav|……ありがとう
ena\voice_card_ev_night_09_19_3a_39_19.wav|じゃあ、そろそろ真面目に今日の作業するね！
ena\voice_card_ev_night_09_19_3b_01_19.wav|——お疲れ
ena\voice_card_ev_night_09_19_3b_03_19.wav|……雪、今日もいないんだね
ena\voice_card_ev_night_09_19_3b_04_19.wav|フェニランに遊びに行ってからずっとだから……。もう１週間近く来てないのか……
ena\voice_card_ev_night_09_19_3b_07_19.wav|そういえば、調整中だった曲、無事にアップできたのにまだ行けてなかったね
ena\voice_card_ev_night_09_19_3b_10_19.wav|それがいいかもね
ena\voice_card_ev_night_09_19_3b_12_19.wav|うん。よろしく
ena\voice_card_ev_night_09_19_3b_14_19.wav|だね……
ena\voice_card_ev_night_09_19_3b_20_19.wav|え、どういうこと？
ena\voice_card_ev_night_09_19_3b_23_19.wav|……つまり、早く眠れる分、睡眠時間がしっかりとれるようになるかもってこと？
ena\voice_card_ev_night_09_19_3b_29_19.wav|……大人しく寝てると思う？作業の時間がそのまま勉強の時間になったりしてるかも
ena\voice_card_ev_night_09_19_3b_31_19.wav|それもそっか……
ena\voice_card_ev_night_09_19_3b_34_19.wav|相変わらず、瑞希はガッツリだね
ena\voice_card_ev_night_09_19_3b_36_19.wav|はいはい、ありがと
ena\voice_card_ev_night_09_19_3b_37_19.wav|じゃあ、お疲れさまの乾杯しよっか。奏、お願い
ena\voice_card_ev_night_09_19_3b_43_19.wav|いいんじゃない？今、私達が打ち上げしてるってことは知ってるはずだし
ena\voice_card_ev_night_09_19_3b_46_19_b.wav|写真まで送るの？さすがに勉強してるところに送られてきたらまふゆでもイラっとするんじゃない？
ena\voice_card_ev_night_09_19_3b_48_19.wav|何それ……。やらせるなら、せめてもうちょっとイメージを言ってよ
ena\voice_card_ev_shuffle_21_19_4a_01_19.wav|——それじゃあ、K。明日は予定どおりウォーキングだね
ena\voice_card_ev_shuffle_21_19_4a_05_19.wav|私もそうしよーっと。じゃあ、作業に戻るね
ena\voice_card_ev_shuffle_21_19_4a_08_19.wav|——できた！ふふ、思ったより進んだじゃん
ena\voice_card_ev_shuffle_21_19_4a_09_19.wav|あとはこれを奏達に送ってっと……
ena\voice_card_ev_shuffle_21_19_4a_10_19.wav|んー。このままあがっちゃってもいいけど、まだそんなに眠くないな
ena\voice_card_ev_shuffle_21_19_4a_11_19.wav|……そうだ。ウォーキングの効果的なやりかた、調べてみようかな
ena\voice_card_ev_shuffle_21_19_4a_12_19.wav|せっかくやるんだから、ちゃんと効率のいいやりかたしたいし
ena\voice_card_ev_shuffle_21_19_4a_13_19.wav|とりあえず……。ウォーキング、やりかた……で検索っと……
ena\voice_card_ev_shuffle_21_19_4a_14_19.wav|あ、いっぱい出てきた。どれが良さそうかな……
ena\voice_card_ev_shuffle_21_19_4a_15_19.wav|……へえ。ここのサイト、丁寧に説明とか図とかものせてくれてる
ena\voice_card_ev_shuffle_21_19_4a_16_19.wav|えーっと……あ、効果を高めるコツっていうのもあるじゃん！
ena\voice_card_ev_shuffle_21_19_4a_17_19.wav|ウォーキングの前後はストレッチをしましょう
ena\voice_card_ev_shuffle_21_19_4a_18_19.wav|運動前は、関節の可動域を確保するために。運動後は、緊張した筋肉をほぐし、疲労回復をサポートするためです
ena\voice_card_ev_shuffle_21_19_4a_19_19.wav|ふーん。歩くだけのウォーキングでも、そういうの意識したほうがいいんだ……
ena\voice_card_ev_shuffle_21_19_4a_20_19.wav|その下の動画はウォーキングのフォームかな。ちょっとやってみよーっと
ena\voice_card_ev_shuffle_21_19_4a_21_19.wav|再生……あ、ヘッドホン抜かないと。音もなるべく小さくして……
ena\voice_card_ev_shuffle_21_19_4a_22_19.wav|さっと本題に入ってくれるのいいな。前置き長い動画とかちょっとイラッとくるんだよね
ena\voice_card_ev_shuffle_21_19_4a_23_19.wav|ふーん、肩甲骨と骨盤ね……
ena\voice_card_ev_shuffle_21_19_4a_24_19.wav|右手と左足っと……
ena\voice_card_ev_shuffle_21_19_4a_25_19.wav|えーっと……こうかな
ena\voice_card_ev_shuffle_21_19_4a_26_19.wav|んっ……。あ、たしかにお腹の奥を使ってる感じあるかも
ena\voice_card_ev_shuffle_21_19_4a_27_19.wav|ふーん、なるほどね。この動画わかりやすいし、効果もありそうだし、奏に送ってあげようかな
ena\voice_card_ev_shuffle_21_19_4a_30_19.wav|…………え？
ena\voice_card_ev_shuffle_21_19_4a_31_19.wav|な……
ena\voice_card_ev_shuffle_21_19_4a_32_19.wav|なんでミュートが解除になってるわけ！？
ena\voice_card_ev_shuffle_21_19_4a_35_19.wav|…………
ena\voice_card_ev_shuffle_21_19_4a_36_19.wav|もうっ、聞こえてたんならもっと早く教えてくれればよかったのに……！
ena\voice_card_ev_shuffle_21_19_4a_39_19.wav|Amia、あんた今度会った時、覚えときなさいよ！
ena\voice_card_ev_shuffle_21_19_4a_40_19.wav|はあ……。K、ごめんね。作業の邪魔しちゃって
ena\voice_card_ev_shuffle_21_19_4a_42_19.wav|うん、わかった
ena\voice_card_ev_shuffle_21_19_4a_43_19.wav|K、この動画でしっかり予習して、いいウォーキングができるようにしようね
ena\voice_card_ev_shuffle_21_19_4b_01_19.wav|ストラックアウト、お疲れさま。かんぱーい！
ena\voice_card_ev_shuffle_21_19_4b_05_19.wav|ふふ。最初の１球目は的まで届いてなかったからちょっとびっくりしちゃったけどね
ena\voice_card_ev_shuffle_21_19_4b_08_19.wav|それでもいいじゃん。奏が最後の１枚を抜いてくれたっていうのは事実なんだから
ena\voice_card_ev_shuffle_21_19_4b_10_19.wav|——じゃあ、最後の運動も終わったし、そろそろ帰る準備しよっか
ena\voice_card_ev_shuffle_21_19_4b_12_19.wav|私はメイク直したいな。汗で髪も崩れてる感じするし
ena\voice_card_ev_shuffle_21_19_4b_14_19.wav|そんなのあるんだ？　助かる！早く、行こっ！
ena\voice_card_ev_shuffle_21_19_4b_17_19.wav|じゃあ私達はここでメイク直してくるね
ena\voice_card_ev_shuffle_21_19_4b_22_19.wav|あ、ティッシュもある。鏡も使わせてもらおっと
ena\voice_card_ev_shuffle_21_19_4b_23_19.wav|化粧ポーチ、荷物になるからどうしようかと思ってたけど、持ってきておいてよかった
ena\voice_card_ev_shuffle_21_19_4b_24_19.wav|げ、顔より髪のほうが全然ヤバい……！乱れまくってんじゃん
ena\voice_card_ev_shuffle_21_19_4b_25_19.wav|こんな状態でみんなと話してたなんて……)
ena\voice_card_ev_shuffle_21_19_4b_26_19.wav|まあ、今日かなりしっかり運動したし、結構暑かったから汗もかいたし、そりゃこうなるか。それにしてもこれは……
ena\voice_card_ev_shuffle_21_19_4b_28_19.wav|……ん？　みのりちゃん、どうかしたの？
ena\voice_card_ev_shuffle_21_19_4b_31_19.wav|そうなんだ。私も別に特別なことしてるわけじゃないけど……。今日も、薄めにしてきただけだし
ena\voice_card_ev_shuffle_21_19_4b_34_19.wav|まあ、慣れも必要だしね。あ、ちょっとしたコツくらいなら私も教えられるけど……
ena\voice_card_ev_shuffle_21_19_4b_37_19.wav|どういたしまして
ena\voice_card_ev_shuffle_21_19_4b_38_19.wav|みのりちゃんはアイドルなんだし、自分に一番似合うメイクの仕方を研究しないとね
ena\voice_card_ev_shuffle_21_19_4b_39_19.wav|ま、そのあたりは愛莉達に聞くのがよさそうだけど
ena\voice_card_ev_shuffle_21_19_4b_42_19.wav|まあね
ena\voice_card_ev_shuffle_21_19_4b_44_19.wav|うーん、SNSや動画サイトかな。スタイリストとかメイクアップアーティストとかフォローしてるし
ena\voice_card_ev_shuffle_21_19_4b_47_19.wav|そ、そう？　全然そんなことないけど……。ま、興味あるし自然と情報が集まってくるのかもね
ena\voice_card_ev_shuffle_21_19_4b_49_19.wav|え……？
ena\voice_card_ev_shuffle_21_19_4b_50_19.wav|本当に、そんなに目をキラキラさせるほど、私がかっこよく見えてるのかな
ena\voice_card_ev_shuffle_21_19_4b_51_19.wav|ありがと、みのりちゃん
ena\voice_card_ev_shuffle_21_19_4b_52_19.wav|——そういえば前に、愛莉がみのりちゃんのことすごくしごきがいがあるって言ってたっけ
ena\voice_card_ev_shuffle_21_19_4b_53_19.wav|その時は、相変わらず面倒見がいいんだな、としか思わなかったけど……
ena\voice_card_ev_shuffle_21_19_4b_54_19.wav|これだけまっすぐな目でお願いされたら、期待に応えたくなっちゃう気持ちもわかるかも
ena\voice_card_ev_shuffle_21_19_4b_56_19.wav|ヤバ！　急いで行かなきゃ
ena\voice_card_ev_shuffle_21_19_4b_59_19.wav|ん？
ena\voice_card_ev_shuffle_21_19_4b_61_19.wav|いいよ。私もこういう話するの好きだし
ena\voice_card_ev_night_10_19_3a_01_19.wav|……今日は、なんの絵を描こうかな
ena\voice_card_ev_night_10_19_3a_02_19.wav|あ……。そういえばさっき、自撮りあげたんだっけ？
ena\voice_card_ev_night_10_19_3a_03_19.wav|あーはいはい。しばらく静かにしててねーっと
ena\voice_card_ev_night_10_19_3a_04_19.wav|はあ……。とりあえず、途中まで描いてたヤツをまた練り直してみようかな
ena\voice_card_ev_night_10_19_3a_05_19.wav|……描いてるうちにぐちゃぐちゃしてきたし、もう１回、構図から切りなおして……
ena\voice_card_ev_night_10_19_3a_06_19.wav|……ダメ。いろんな構図で試してみてるのに、どれもしっくりこない
ena\voice_card_ev_night_10_19_3a_07_19.wav|私って、こんなに描けなかったっけ……
ena\voice_card_ev_night_10_19_3a_08_19.wav|……っ違う。そんなことない……！私だって……！
ena\voice_card_ev_night_10_19_3a_09_19.wav|私、だって……っ
ena\voice_card_ev_night_10_19_3a_10_19.wav|そうだ、よく描けた時のイメージを思い出すのがいいかも！よし、Amiaさんがあげてくれた動画、見に行こ……！
ena\voice_card_ev_night_10_19_3a_11_19.wav|昨日も何回か見たけど、いい調子で再生回数伸びてるんだよね
ena\voice_card_ev_night_10_19_3a_12_19.wav|あ……！　再生回数もコメントもまた増えてる！
ena\voice_card_ev_night_10_19_3a_13_19.wav|ほら！　みんなだって、動画のことすごいって言ってる……！
ena\voice_card_ev_night_10_19_3a_14_19.wav|私の絵を、こんなにたくさんの人が見てる……！
ena\voice_card_ev_night_10_19_3a_15_19.wav|ふふ……
ena\voice_card_ev_night_10_19_3a_16_19.wav|この動画、Kも見てくれたりしないかな……
ena\voice_card_ev_night_10_19_3a_17_19.wav|なーんて、そんなわけ——
ena\voice_card_ev_night_10_19_3a_18_19.wav|あれ？　いいねの通知、きったはずだけど……
ena\voice_card_ev_night_10_19_3a_19_19.wav|……違う、DMのほうだ。もしかして、Amiaさんかな……
ena\voice_card_ev_night_10_19_3a_23_19.wav|…………え？
ena\voice_card_ev_night_10_19_3a_24_19.wav|…………えっ！？
ena\voice_card_ev_night_10_19_3a_25_19.wav|け……K！？
ena\voice_card_ev_night_10_19_3a_26_19.wav|嘘でしょ、本人！？まさかDMが来るなんて！
ena\voice_card_ev_night_10_19_3a_27_19.wav|ま、待って待って……！落ち着いて、落ち着かなきゃ……
ena\voice_card_ev_night_10_19_3a_28_19.wav|まずは、本当に本人なのか確認しないと！そう、いたずらって可能性だってあるし
ena\voice_card_ev_night_10_19_3a_29_19.wav|でも、自撮りのアカウントと違って、こっちのアカウントなんてフォロワーほとんどいないし、いたずらなんて……
ena\voice_card_ev_night_10_19_3a_30_19.wav|……と、とりあえず、返事しなくちゃ
ena\voice_card_ev_night_10_19_3a_31_19.wav|……アカウント合ってるかって聞かれたってことは、自撮りのほうも見たのかな
ena\voice_card_ev_night_10_19_3a_32_19.wav|う……自撮りとかあげてて痛いヤツとか思われてたらどうしよう……
ena\voice_card_ev_night_10_19_3a_33_19.wav|えっ……も、もう返事きた！
ena\voice_card_ev_night_10_19_3a_35_19.wav|あ……。あっちのアカウントを見られたわけじゃないんだ……
ena\voice_card_ev_night_10_19_3a_36_19.wav|でも、あのKからDMが来るなんて……。なんだろう？　動画の感想とかかな？
ena\voice_card_ev_night_10_19_3a_38_19.wav|…………！
ena\voice_card_ev_night_10_19_3a_39_19.wav|嘘……
ena\voice_card_ev_night_10_19_3a_40_19.wav|Kが……あ、あのKが……。私に、イラストの依頼？
ena\voice_card_ev_night_10_19_3a_41_19.wav|……間違いない。本当に、そう書いてある……
ena\voice_card_ev_night_10_19_3a_42_19.wav|夢……じゃ、ない……よね
ena\voice_card_ev_night_10_19_3a_43_19.wav|Kが……Kが……。私の絵を、見てくれた……
ena\voice_card_ev_night_10_19_3a_44_19.wav|…………っ
ena\voice_card_ev_night_10_19_3a_45_19.wav|あははっ……。最近、泣いてばっかだな……
ena\voice_card_ev_night_10_19_3a_46_19.wav|でも……嬉しいんだから、仕方ないよね
ena\voice_card_ev_night_10_19_3a_47_19.wav|また、Kからだ
ena\voice_card_ev_night_10_19_3a_48_19.wav|あ……Amiaさんにも声かけてるんだ
ena\voice_card_ev_night_10_19_3a_49_19.wav|だよね。あの動画、すっごくよかったもん。私も、イラストを使ってもらうならAmiaさんがいいし
ena\voice_card_ev_night_10_19_3a_50_19.wav|えっと、あとは……ナイトコードで、直接話せませんか……
ena\voice_card_ev_night_10_19_3a_51_19.wav|話せるの！？　Kと、それにAmiaさんとも！？
ena\voice_card_ev_night_10_19_3a_52_19.wav|こんなの、絶対やるに決まってるじゃん！
ena\voice_card_ev_night_10_19_3a_53_19.wav|えっとKさん　イラストのご依頼、ありがとうございます。私でよければ喜んで描きますっと！
ena\voice_card_ev_night_10_19_3a_54_19.wav|このナイトコードっていうのがよくわかんないけど、とりあえずダウンロードして設定とかしておけばいいのかな？
ena\voice_card_ev_night_10_19_3a_55_19.wav|よし、今から落としてみちゃおっと！
ena\voice_card_ev_night_10_19_3a_56_19.wav|ふふ、Kと話せる……。それにAmiaさんとも
ena\voice_card_ev_night_10_19_3a_57_19.wav|ふたりともどんな人なんだろう？ボイスチャット、楽しみだな
ena\voice_card_ev_night_10_19_3b_05_19.wav|うん。ほんと、最近絶好調じゃない？
ena\voice_card_ev_night_10_19_3b_08_19.wav|全然、そう思ってる感じしないんだけど……
ena\voice_card_ev_night_10_19_3b_10_19.wav|じゃあ、また夜にねー
ena\voice_card_ev_night_10_19_3b_18_19.wav|大丈夫、ねえ。まあ、本人がいいならいいけど
ena\voice_card_ev_night_10_19_3b_20_19.wav|うん。気をつけてね！
ena\voice_card_ev_night_10_19_3b_22_19.wav|だね
ena\voice_card_ev_night_10_19_3b_23_19.wav|——あ、あそこのスポーツショップ、ちょっと寄っていこうかなあ
ena\voice_card_ev_night_10_19_3b_25_19.wav|ううん。可愛いスニーカーが見えたから見に行こうと思っただけ
ena\voice_card_ev_night_10_19_3b_28_19.wav|え……。ま、まあ、ぼちぼち？
ena\voice_card_ev_night_10_19_3b_31_19.wav|だ、だって！　あのあと本当に筋肉痛がヤバかったんだって！
ena\voice_card_ev_night_10_19_3b_34_19.wav|つきあうって、運動に？
ena\voice_card_ev_night_10_19_3b_37_19.wav|たしかに……
ena\voice_card_ev_night_10_19_3b_39_19.wav|んー。運動につきあうのはいいけど……。私がやるからって奏もやるとは限らないでしょ
ena\voice_card_ev_night_10_19_3b_41_19.wav|そ、そう……？
ena\voice_card_ev_night_10_19_3b_43_19.wav|まあ、それはね
ena\voice_card_ev_night_10_19_3b_44_19.wav|……瑞希の言うとおり、イラスト以外でも力になれてたら嬉しいな
ena\voice_card_ev_night_10_19_3b_45_19.wav|それにしても、なんか不思議だなぁ
ena\voice_ev_night_10_05_92_19.wav|……なんだろう、この曲……。暗い感じの曲なのに、なんだか変な感じがする……
ena\voice_ev_night_10_05_94_19.wav|あれ……？
ena\voice_ev_night_10_05_95_19.wav|なんで涙が……
ena\voice_ev_night_10_05_101_19.wav|……そうだよ。まだ、消えたくないよ……
ena\voice_ev_night_10_05_102_19.wav|描けなくたって……描いてたいよ……
ena\voice_card_ev_night_10_19_3b_46_19.wav|奏の曲に出会って、思わずイラストを描いて、そしたら瑞希がMVを作って、それを奏達が見てくれて——
ena\voice_card_ev_night_10_19_3b_47_19.wav|今じゃ、一緒に曲を作ってる
ena\voice_card_ev_night_10_19_3b_48_19.wav|……こんなことって、あるんだなぁ
ena\voice_card_ev_night_10_19_3b_50_19.wav|なんでもなーい。さ、ショッピングを楽しも
ena\voice_card_ev_night_10_19_3b_52_19.wav|あ、それ！　先週行こうと思ったんだけど、雨だったからやめたんだよね
ena\voice_card_20_02a_10_19.wav|ほら、これ。ていうか、本当に大丈夫なの？
ena\voice_card_20_02a_12_19.wav|瑞希が送ってきたアレンジ絵、かわいかったけど、自分でいじるなんてできるの？
ena\voice_card_20_02a_14_19.wav|当たり前でしょ。センスがいいのは認めるけど、リメイクは別だもん
ena\voice_card_20_02a_16_19.wav|は？　行くって、どこに……？服渡して終わりじゃなかったの？
ena\voice_card_20_02a_20_19.wav|え……ただのファミレスじゃない
ena\voice_card_20_02a_22_19.wav|ミシン、ラウンジ……？
ena\voice_card_20_02a_24_19.wav|わ、ミシンがたくさん
ena\voice_card_20_02a_28_19.wav|あ、うん。……ねえ、いつものミシンって？
ena\voice_card_20_02a_30_19.wav|へぇ、形もだいぶ違うんだ……あ、こっちのミシンは、ちょっとアンティークっぽくてかわいい！
ena\voice_card_20_02a_33_19b.wav|わ……かわいいレース。これ、瑞希がアレンジ絵に描いてたレース？
ena\voice_card_20_02a_35_19.wav|ねえ。この色鉛筆みたいなの、何？
ena\voice_card_20_02a_37_19.wav|……あー、やったような気もするけど……。あんまり覚えてないな
ena\voice_card_20_02a_38_19.wav|今の学校だと、家庭科は調理実習多いし
ena\voice_card_20_02a_41_19.wav|それぐらい自分で作るし！
ena\voice_card_20_02a_45_19.wav|え、早っ！まだサンドイッチ食べてる途中だったんだけど
ena\voice_card_20_02a_48_19.wav|うわぁ……！　かわいい……！
ena\voice_card_20_02a_50_19.wav|瑞希って、本当にアレンジ得意だったんだ。お店で売ってるみたいな出来なんだけど……！
ena\voice_card_20_02b_10_19.wav|あれ、Amia、なんか疲れてない？今日学校行ったから？
ena\voice_card_20_02b_12_19.wav|…………
ena\voice_card_20_02b_13_19.wav|……Amia。今日、学校で何かあった？
ena\voice_card_20_02b_15_19.wav|なんか、声の感じがいつもと違うんだもん
ena\voice_card_20_02b_21_19.wav|あ、雪も来たんだ
ena\voice_card_20_02b_22_19.wav|今、Amiaに何かあったのかなって話をしてたとこ
ena\voice_card_20_02b_29_19.wav|まあ、オシャレなほうなんじゃない？私とはちょっと趣味が合わないけど……
ena\voice_card_20_02b_31_19.wav|それとこれとは別の話だから
ena\voice_card_20_02b_40_19.wav|あ、もういつものウザい感じになってる……
ena\voice_card_20_3b_02_19.wav|もー、瑞希遅い！先に見始めようかって思ったよ
ena\voice_card_20_3b_14_19.wav|…………
ena\voice_card_20_3b_20_19.wav|えっ？
ena\voice_card_20_3b_24_19.wav|……それ、フォローのつもり？そんなの要らないんだけど
ena\voice_card_20_3b_26_19.wav|はぁ……。ま、いいけど。なんだかお腹空いてきたかも
ena\voice_card_20_3b_29_19.wav|また！？　毎回じゃん
ena\voice_card_20_3b_31_19.wav|……ったく、ニキビだらけになっても知らないからね
ena\voice_card_20_3b_33_19.wav|あーはいはいよかったよかった
ena\voice_card_20_3b_39_19.wav|あ、ついでにドリンクバーも頼もうっと
ena\voice_card_20_3b_44_19.wav|どれだけ食べる気！？
ena\voice_card_ev_night_01_20_03a_02_19.wav|奏もお疲れ様。朝までアップ作業してたんでしょ？
ena\voice_card_ev_night_01_20_03a_06_19.wav|じゃあ、とにかく何か食べた方がいいんじゃない？早く注文決めちゃおうよ
ena\voice_card_ev_night_01_20_03a_16_19.wav|じゃあ、私も貰うね
ena\voice_card_ev_night_01_20_03a_21_19.wav|ちょっと、何言ってんの？そんなことしたら、まふゆ以外食べられなくなるでしょ
ena\voice_card_ev_night_01_20_03a_22_19.wav|ていうか、塩がかかってるのにさらにしょっぱいものをかけるってどういうこと？
ena\voice_card_ev_night_01_20_03a_23_19.wav|もっとこう……ポテトにつけるなら、アボカドディップとか、チーズディップとか、いろいろあるでしょ？
ena\voice_card_ev_night_01_20_03a_26_19.wav|まふゆがよくても私は無理！
ena\voice_card_ev_night_01_20_03a_28_19.wav|ちょっと、ディップあるじゃん！何危ない橋渡らせようとしてんの！？
ena\voice_card_ev_night_01_20_03a_30_19.wav|そんなチャレンジする意味ある！？
ena\voice_card_ev_night_01_20_03a_40_19.wav|食べていいって言ったの瑞希じゃん
ena\voice_card_ev_night_01_20_03a_42_19.wav|こういうのって、食べ始めると、どんどん食べたくなるよね
ena\voice_card_ev_night_01_20_03a_48_19.wav|じゃあ代わりにこれ食べる？
ena\voice_card_ev_night_01_20_03a_51_19.wav|ちょっと、気持ち悪いこと言わないでよ
ena\voice_card_ev_night_01_20_03a_54_19.wav|あ、ポテトのお皿邪魔だから片付けてもらおっか
ena\voice_card_ev_shuffle_02_20_4b_09_19.wav|あれ、みんなもうそろってたんだ
ena\voice_card_ev_shuffle_02_20_4b_11_19.wav|今日は休み。普通に夕ご飯食べてきたところ
ena\voice_card_ev_shuffle_02_20_4b_13_19.wav|ああ。うちの学校の文化祭、この前あったんだっけ？その感じだと、Amiaは行ったんだ？
ena\voice_card_ev_shuffle_02_20_4b_16_19.wav|え？　彰人？
ena\voice_card_ev_shuffle_02_20_4b_18_19.wav|あー、そういえば、彰人も私の知りあいに会ったって言ってたような……。誰かと思ったらAmiaだったんだ
ena\voice_card_ev_shuffle_02_20_4b_19_19.wav|はぁー、私も文化祭行けばよかったかなぁ。青春っぽいいい写真撮れたかもしれないし
ena\voice_card_ev_shuffle_02_20_4b_20_19.wav|でも完全に忘れちゃって、夕方まで寝ちゃってたんだよね
ena\voice_card_ev_shuffle_02_20_4b_22_19.wav|う……一応あったけど、準備とか手伝ってなかったし……
ena\voice_card_ev_shuffle_02_20_4b_25_19.wav|は？　ケンカうってんの？
ena\voice_card_ev_shuffle_02_20_4b_41_19.wav|そんなに楽しかったなら、来年はちょっとのぞいてもいいかな
ena\voice_card_ev_shuffle_02_20_4b_49_19.wav|今年の文化祭が終わったばっかりなのに、気が早すぎない？
ena\voice_card_ev_night_20_2a_07_19.wav|…………
ena\voice_card_ev_night_20_2a_09_19.wav|……あ、ごめん。ぼーっとしてた
ena\voice_card_ev_night_20_2a_11_19.wav|そうだっけ……
ena\voice_card_ev_night_20_2a_13_19.wav|別に。じゃ、自分の作業に入るから
ena\voice_card_ev_night_20_2a_21_19.wav|おまたせ……
ena\voice_card_ev_night_20_2a_23_19.wav|ちょっと寝不足で化粧ノリが悪かっただけ
ena\voice_card_ev_night_20_2a_25_19.wav|してない。ていうか私、別にムリしてまで瑞希とご飯食べたいなんて思わないけど
ena\voice_card_ev_night_20_2a_29_19.wav|いいんじゃない？あ、ちょうど青になったし、行こ
